year,Base case diesel consumed,Modeled diesel efficiency
2019,31077.5644616,28252.3313287
2020,31077.5644616,28252.3313287
2021,31178.6550256,28344.2318414
2022,31178.6550256,28344.2318414
2023,31178.6550256,28344.2318414
2024,31178.6550256,28344.2318414
2025,31178.6550256,28344.2318414
2026,31279.7455896,28436.1323542
2027,31279.7455896,28436.1323542
2028,31279.7455896,28436.1323542
2029,31380.8361536,28528.0328669
2030,31380.8361536,28528.0328669
2031,31380.8361536,28528.0328669
2032,31380.8361536,28528.0328669
2033,31481.9267176,28619.9333797
2034,31481.9267176,28619.9333797
2035,31481.9267176,28619.9333797
2036,31481.9267176,28619.9333797
2037,31583.0172816,28711.8338924
2038,31583.0172816,28711.8338924
