year,Base case diesel consumed,Modeled transmission and interties
2021,63282.6930742,31641.3465371
2022,63282.6930742,31641.3465371
2023,63282.6930742,31641.3465371
2024,63282.6930742,31641.3465371
2025,63282.6930742,31641.3465371
2026,63484.8742022,31742.4371011
2027,63484.8742022,31742.4371011
2028,63484.8742022,31742.4371011
2029,63687.0553302,31843.5276651
2030,63687.0553302,31843.5276651
2031,63687.0553302,31843.5276651
2032,63687.0553302,31843.5276651
2033,63889.2364583,31944.6182291
2034,63889.2364583,31944.6182291
2035,63889.2364583,31944.6182291
2036,63889.2364583,31944.6182291
2037,64091.4175863,32045.7087931
2038,64091.4175863,32045.7087931
2039,64091.4175863,32045.7087931
2040,64091.4175863,32045.7087931
