year,Base case diesel consumed,Modeled residential energy efficiency
2017,36029.2132689,26448.4178085
2018,36029.2132689,26448.4178085
2019,36029.2132689,26448.4178085
2020,36029.2132689,26448.4178085
2021,36029.2132689,26448.4178085
2022,36029.2132689,26448.4178085
2023,37051.7576562,27470.9621958
2024,37051.7576562,27470.9621958
2025,37051.7576562,27470.9621958
2026,37051.7576562,27470.9621958
2027,37051.7576562,27470.9621958
2028,37051.7576562,27470.9621958
2029,37051.7576562,27470.9621958
2030,38074.3020434,28493.5065831
2031,38074.3020434,28493.5065831
