year,Base case cost,Modeled solar power
2020,13285754.2631,13483064.5132
2021,13806263.7142,13989085.7726
2022,14199004.1837,14369534.3547
2023,14496093.4717,14656009.1029
2024,14729499.9391,14879975.2348
2025,14995807.6737,15136608.9221
2026,15327054.678,15457497.8071
2027,15632883.2517,15753659.5873
2028,15867461.2927,15979695.4828
2029,16168933.6441,16271941.6234
2030,16375126.2353,16470450.9254
2031,16709185.0162,16795263.5065
2032,17075477.6663,17152089.8431
2033,17407454.4558,17475249.1652
2034,17772376.0384,17831131.2076
2035,18012780.028,18064402.6862
2036,18382757.15,18425739.47
2037,18626564.1437,18662777.7283
2038,19001985.6368,19029941.762
2039,19310124.7132,19330837.9424
