year,Base case diesel consumed,Modeled wind power,Bethel renewable energy project,Bethel wind power project times 4,Bethel wind farm construction (bnc land)
2017,3168326.59854,,2990499.97539,3114886.25836,2264314.35023
2018,3171445.95845,,2993619.33529,3118005.61826,2267433.71013
2019,3174347.68859,2267270.99198,2996521.06543,3120907.3484,2270335.44027
2020,3178410.11079,2271333.41417,3000583.48763,3124969.7706,2274397.86247
2021,3181166.75442,2274090.05781,3003340.13126,3127726.41424,2277154.50611
2022,3183633.22504,2276556.52843,3005806.60189,3130192.88486,2279620.97673
2023,3185954.60915,2278877.91254,3008127.986,3132514.26897,2281942.36084
2024,3188203.45001,2281126.7534,3010376.82686,3134763.10983,2284191.2017
2025,3190597.37738,2283520.68077,3012770.75423,3137157.0372,2286585.12907
2026,3193136.39126,2286059.69464,3015309.7681,3139696.05107,2289124.14294
2027,3196908.64044,2289831.94383,3019082.01728,3143468.30026,2292896.39213
2028,3199084.93805,2292008.24143,3021258.31489,3145644.59786,2295072.68973
2029,3201769.03843,2294692.34182,3023942.41527,3148328.69824,2297756.79011
2030,3204525.68206,2297448.98545,3026699.05891,3151085.34188,2300513.43375
2031,3207137.23919,2300060.54258,3029310.61603,3153696.89901,2303124.99088
2032,3209676.25306,2302599.55645,3031849.62991,3156235.91288,2305664.00475
2033,3211707.46416,2304630.76755,3033880.84101,3158267.12398,2307695.21585
2034,3213811.21852,2306734.5219,3035984.59536,3160370.87833,2309798.9702
2035,3216567.86215,2309491.16554,3038741.23899,3163127.52197,2312555.61384
2036,3219397.04904,2312320.35243,3041570.42588,3165956.70885,2315384.80073
2037,3222588.95219,2315512.25558,,,
2038,3226143.57162,2319066.87501,,,
