year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,3168326.6,15929.81,2896640.65,1863200.64
2018,3171445.96,16026.49,2896640.65,1887601.14
2019,3174347.69,16114.12,2896640.65,1908818.97
2020,3178410.11,16240.44,2896640.65,1940645.71
2021,3181166.75,16324.68,2896640.65,1961863.53
2022,3183633.23,16401.75,2896640.65,1980959.57
2023,3185954.61,16471.91,2896640.65,1997933.83
2024,3188203.45,16541.9,2896640.65,2014908.09
2025,3190597.38,16615.32,2896640.65,2032943.25
2026,3193136.39,16692.73,2896640.65,2053100.18
2027,3196908.64,16809.02,2896640.65,2081744.24
2028,3199084.94,16877.81,2896640.65,2098718.51
2029,3201769.04,16960.16,2896640.65,2118875.44
2030,3204525.68,17043.23,2896640.65,2139032.37
2031,3207137.24,17125.21,2896640.65,2160250.2
2032,3209676.25,17202.82,2896640.65,2179346.24
2033,3211707.46,17266.54,2896640.65,2195259.61
2034,3213811.22,17330.82,2896640.65,2211172.98
2035,3216567.86,17416.1,2896640.65,2232390.81
2036,3219397.05,17502.83,2896640.65,2253608.63
2037,3222588.95,17599.96,2896640.65,2278009.13
2038,3226143.57,17710.54,2896640.65,2304531.41
2039,3229117.85,17801.92,2896640.65,2327871.02
2040,3232019.58,17891.73,2896640.65,2350149.74
