year,Base case cost,Modeled wind power,Bethel renewable energy project,Bethel wind power project times 4,Bethel wind farm construction (bnc land)
2017,9758445.92351,,9826415.02483,9985831.63414,10197720.6952
2018,10909774.0971,,10913308.915,11113506.0427,11014176.1621
2019,12506929.893,12428364.2411,12425048.0311,12680803.0049,12169962.9533
2020,13285754.2631,12966613.2021,13158079.4661,13441774.4336,12709019.7573
2021,13806263.7142,13309672.745,13645139.218,13948236.2139,13052673.9964
2022,14199004.1837,13557141.1696,14010706.8893,14328908.9847,13300628.5207
2023,14496093.4717,13733377.387,14285379.9342,14615451.458,13477268.451
2024,14729499.9391,13862591.5614,14499606.4864,14839372.9938,13606830.1591
2025,14995807.6737,14018151.5678,14745419.9437,15095888.0164,13762759.9506
2026,15327054.678,14224338.5484,15053338.3101,15416575.6953,13969365.1709
2027,15632883.2517,14413955.9733,15337545.1541,15712441.0733,14159371.0406
2028,15867461.2927,14548874.8485,15553719.1719,15938104.1231,14294622.5392
2029,16168933.6441,14736297.0065,15833939.6637,16229884.9711,14482426.0342
2030,16375126.2353,14852670.0867,16023604.7224,16427883.2695,14599098.6839
2031,16709185.0162,15067010.1757,16335249.09,16752054.2793,14813839.444
2032,17075477.6663,15306849.1287,16677782.2295,17108128.801,15054101.9102
2033,17407454.4558,15521072.604,16987681.0006,17430464.9222,15268719.5921
2034,17772376.0384,15761459.8038,17329171.5833,17785409.6877,15509523.9921
2035,18012780.028,15909172.8489,17552364.2336,18017774.7858,15657546.7408
2036,18382757.15,16156445.9883,17899223.6478,18378005.2231,15905231.0599
2037,18626564.1437,16309349.5381,,,
2038,19001985.6368,16563812.6548,,,
