year,annotation,Average Load
2003,,4640.0
2004,,4690.0
2005,,4653.0
2006,,4526.0
2007,,4568.0
2008,,4579.0
2009,,4484.0
2010,,4561.0
2011,,4575.0
2012,,4832.0
2013,,4679.0
2014,start of forecast,4700.0
2015,,4704.0
2016,,4709.0
2017,,4714.0
2018,,4719.0
2019,,4723.0
2020,,4729.0
2021,,4733.0
2022,,4737.0
2023,,4740.0
2024,,4744.0
2025,,4747.0
2026,,4751.0
2027,,4757.0
2028,,4760.0
2029,,4764.0
2030,,4768.0
2031,,4772.0
2032,,4776.0
2033,,4779.0
2034,,4782.0
2035,,4786.0
2036,,4790.0
2037,,4795.0
2038,,4800.0
2039,,4805.0
2040,,4809.0
