year,Base case diesel consumed,Modeled solar power
2020,3178410.11079,3130510.82117
2021,3181166.75442,3133650.65912
2022,3183633.22504,3136497.2585
2023,3185954.60915,3139195.73035
2024,3188203.45001,3141818.64224
2025,3190597.37738,3144583.64807
2026,3193136.39126,3147490.77178
2027,3196908.64044,3151628.18592
2028,3199084.93805,3154166.72716
2029,3201769.03843,3157210.17323
2030,3204525.68206,3160323.28778
2031,3207137.23919,3163288.46407
2032,3209676.25306,3166178.26814
2033,3211707.46416,3168557.46312
2034,3213811.21852,3171006.41748
2035,3216567.86215,3174105.49952
2036,3219397.04904,3177274.38531
2037,3222588.95219,3180803.26978
2038,3226143.57162,3184692.17466
2039,3229117.84501,3187998.05923
