year,Base case diesel consumed,Adak hydroelectric project -- mount reed creek,Adak hydroelectric project -- mount moffet creek,Adak hydroelectric project -- heart lake,Adak hydroelectric project -- lake betty,Adak hydroelectric project -- lake bonnie rose,Adak hydroelectric project -- lake demarie,"Adak (unnamed stream, site #2) -- unnamed creek, 2","Adak (unnamed stream, site #1) -- unnamed creek, 1",Adak hydroelectric feasibility study  phase ii--option 1
2021,229506.096945,108664.456493,78454.04635,165728.564481,159015.140005,34145.4095143,202652.399058,127797.716208,162036.181025,34723.6091554
2022,229594.538601,108752.898149,78542.4880059,165817.006137,159103.581661,34233.8511701,202740.840714,127886.157864,162124.622681,34812.0508112
2023,229682.980257,108841.339805,78630.9296617,165905.447793,159192.023316,34322.292826,202829.28237,127974.59952,162213.064337,34900.4924671
2024,229771.421913,108929.781461,78719.3713176,165993.889449,159280.464972,34410.7344818,202917.724026,128063.041176,162301.505993,34988.9341229
2025,229859.863568,109018.223117,78807.8129734,166082.331104,159368.906628,34499.1761377,203006.165682,128151.482832,162389.947649,35077.3757788
2026,229948.305224,109106.664773,78896.2546293,166170.77276,159457.348284,34587.6177935,203094.607337,128239.924487,162478.389304,35165.8174346
2027,230036.74688,109195.106428,78984.6962851,166259.214416,159545.78994,34676.0594494,203183.048993,128328.366143,162566.83096,35254.2590905
2028,230125.188536,109283.548084,79073.137941,166347.656072,159634.231596,34764.5011053,203271.490649,128416.807799,162655.272616,35342.7007464
2029,230213.630192,109371.98974,79161.5795968,166436.097728,159722.673252,34852.9427611,203359.932305,128505.249455,162743.714272,35431.1424022
2030,230302.071848,109460.431396,79250.0212527,166524.539384,159811.114907,34941.384417,203448.373961,128593.691111,162832.155928,35519.5840581
2031,230478.955159,109637.314708,79426.9045644,166701.422695,159987.998219,35118.2677287,203625.257272,128770.574423,163009.03924,35696.4673698
2032,230567.396815,109725.756364,79515.3462203,166789.864351,160076.439875,35206.7093845,203713.698928,128859.016078,163097.480895,35784.9090256
2033,230567.396815,109725.756364,79515.3462203,166789.864351,160076.439875,35206.7093845,203713.698928,128859.016078,163097.480895,35784.9090256
2034,230744.280127,109902.639675,79692.229532,166966.747663,160253.323187,35383.5926962,203890.58224,129035.89939,163274.364207,35961.7923373
2035,230832.721783,109991.081331,79780.6711878,167055.189319,160341.764843,35472.0343521,203979.023896,129124.341046,163362.805863,36050.2339932
2036,230921.163439,110079.522987,79869.1128437,167143.630975,160430.206498,35560.476008,204067.465552,129212.782702,163451.247519,36138.6756491
2037,231009.605095,110167.964643,79957.5544995,167232.072631,160518.648154,35648.9176638,204155.907208,129301.224358,163539.689175,36227.1173049
2038,231098.04675,110256.406299,80045.9961554,167320.514286,160607.08981,35737.3593197,204244.348863,129389.666014,163628.130831,36315.5589608
2039,231098.04675,110256.406299,80045.9961554,167320.514286,160607.08981,35737.3593197,204244.348863,129389.666014,163628.130831,36315.5589608
2040,231186.488406,110344.847955,80134.4378113,167408.955942,160695.531466,35825.8009755,204332.790519,129478.107669,163716.572486,36404.0006166
2041,231274.930062,110433.28961,80222.8794671,167497.397598,160783.973122,35914.2426314,204421.232175,129566.549325,163805.014142,36492.4422725
2042,231363.371718,110521.731266,80311.321123,167585.839254,160872.414778,36002.6842872,204509.673831,129654.990981,163893.455798,36580.8839283
2043,231451.813374,110610.172922,80399.7627788,167674.28091,160960.856434,36091.1259431,204598.115487,129743.432637,163981.897454,36669.3255842
2044,231451.813374,110610.172922,80399.7627788,167674.28091,160960.856434,36091.1259431,204598.115487,129743.432637,163981.897454,36669.3255842
2045,231540.25503,110698.614578,80488.2044347,167762.722566,161049.298089,36179.5675989,204686.557143,129831.874293,164070.33911,36757.76724
2046,231540.25503,110698.614578,80488.2044347,167762.722566,161049.298089,36179.5675989,204686.557143,129831.874293,164070.33911,36757.76724
2047,231628.696686,110787.056234,80576.6460905,167851.164222,161137.739745,36268.0092548,204774.998799,129920.315949,164158.780766,36846.2088959
2048,231628.696686,110787.056234,80576.6460905,167851.164222,161137.739745,36268.0092548,204774.998799,129920.315949,164158.780766,36846.2088959
2049,231628.696686,110787.056234,80576.6460905,167851.164222,161137.739745,36268.0092548,204774.998799,129920.315949,164158.780766,36846.2088959
2050,231717.138341,110875.49789,80665.0877464,167939.605877,161226.181401,36356.4509107,204863.440454,130008.757605,164247.222422,36934.6505518
