year,Base case cost,Adak hydroelectric project -- mount reed creek,Adak hydroelectric project -- mount moffet creek,Adak hydroelectric project -- heart lake,Adak hydroelectric project -- lake betty,Adak hydroelectric project -- lake bonnie rose,Adak hydroelectric project -- lake demarie,"Adak (unnamed stream, site #2) -- unnamed creek, 2","Adak (unnamed stream, site #1) -- unnamed creek, 1",Adak hydroelectric feasibility study  phase ii--option 1
2021,1074088.5337,1100422.25722,1096222.32989,1086628.98339,1117007.34371,498788.076687,1205315.03369,1215711.9047,1237475.92612,533590.168538
2022,1108941.62144,1103845.1242,1091996.43132,1104920.19109,1132992.56245,494792.358085,1230756.09931,1221798.23005,1251901.61539,529068.551287
2023,1134633.92247,1103441.14968,1085272.28403,1116865.1336,1142940.96817,489978.673162,1248278.59469,1223267.38345,1260212.11073,523719.296469
2024,1155750.25222,1101268.11869,1077476.03019,1125714.93034,1149962.98209,484853.04371,1261904.43923,1222575.99231,1265579.72059,518060.145577
2025,1179181.10011,1100429.58024,1070764.59566,1136361.42179,1158739.75885,480190.154649,1277681.27795,1223425.96386,1272779.01514,512883.540427
2026,1209528.08548,1103000.44378,1066581.3218,1152072.69977,1172398.72418,476513.04379,1299647.96747,1228291.05832,1284999.35932,508724.254297
2027,1235297.33075,1103780.788,1061299.88321,1164676.71038,1183117.202,472509.185676,1317708.04513,1230973.6279,1294259.5282,504239.300572
2028,1256483.52941,1102759.04641,1054907.25271,1174164.85639,1190885.96755,468169.130813,1331853.60046,1231461.94161,1300549.28173,499418.921815
2029,1286894.19277,1106176.17882,1051752.85408,1190351.20419,1205098.45017,465073.63223,1354209.50476,1237193.86835,1313450.06904,495879.745396
2030,1303509.72666,1103607.35348,1044560.64569,1196863.40786,1210081.74613,460570.333369,1364553.84307,1235749.30336,1316972.99969,490908.829402
2031,1334473.15037,1108068.88108,1042565.35817,1213860.95826,1225154.71318,458352.968889,1387667.0146,1242538.5435,1330814.00807,488271.971727
2032,1367264.66311,1113335.63389,1041115.62698,1232146.25513,1241469.20065,456083.564508,1412426.93166,1250338.7534,1345966.51095,485600.772193
2033,1399544.09867,1118321.95918,1039439.5204,1250041.24824,1257416.6051,453455.393318,1436771.13157,1257864.62262,1360789.50131,482582.201228
2034,1432921.97959,1124632.95093,1039140.86571,1269153.60647,1274604.05123,452075.385129,1462307.87874,1266721.10249,1376889.2234,480822.921596
2035,1454246.14723,1125411.51433,1034936.42245,1279653.57709,1283551.27512,448973.466425,1477282.89017,1269053.40081,1384627.04409,477322.453107
2036,1489441.50418,1132716.56812,1035418.69967,1300147.91542,1302094.46831,447662.805215,1504538.73563,1279114.92802,1402184.83543,475660.029889
2037,1510802.81732,1133958.7023,1031777.32742,1310909.19449,1311345.74582,444880.248785,1519728.27403,1281922.0019,1410295.87026,472499.900509
2038,1546045.93276,1141727.94557,1032820.96231,1331670.20047,1330197.34999,443892.948413,1547205.10208,1292458.66075,1428229.61215,471181.323321
2039,1571466.7179,1144916.07596,1030590.44042,1345374.65259,1342292.55738,441364.769034,1566063.24405,1297621.43977,1439313.53714,468307.634389
2040,1611369.82419,1155222.30345,1033633.68978,1369674.34031,1364582.64474,441226.056861,1597805.22995,1311104.54133,1460813.17673,467869.239953
2041,1611986.26253,1147854.72546,1024403.15615,1366093.7465,1360201.72754,436558.513701,1595100.53196,1303527.17492,1455137.35811,462808.944774
2042,1612602.70087,1140674.27267,1015403.4107,1362611.52054,1355937.93574,432014.813733,1592473.67302,1296141.85062,1449609.01412,457881.697904
2043,1613219.13922,1133676.55993,1006629.04506,1359225.35724,1351788.52459,427592.054781,1589922.82904,1288944.06806,1444224.68879,453084.38145
2044,1613219.13922,1126240.86544,997458.337965,1355316.56653,1347134.37466,422670.963629,1586829.77987,1281312.99289,1438364.56796,447797.511485
2045,1613835.57756,1119595.88352,989119.007826,1352115.82653,1343205.74479,418481.648982,1584425.66243,1274477.20953,1433258.23217,443250.990972
2046,1613835.57756,1112504.65249,980373.139789,1348388.11313,1338767.20143,413788.530625,1581475.9008,1267199.64895,1427669.5853,438209.038747
2047,1614452.0159,1106196.0608,972448.691708,1345364.2065,1335049.12493,409821.84575,1579211.71266,1260709.09482,1422828.36091,433901.69581
2048,1614452.0159,1099433.33598,964107.982092,1341809.18203,1330816.20018,405346.139365,1576398.60079,1253768.6723,1417498.612,429093.315529
2049,1614452.0159,1092829.11242,955962.757733,1338337.47838,1326682.48453,400975.332282,1573651.42118,1246990.91583,1412293.779,424397.631589
2050,1615068.45424,1086996.11388,948624.875642,1335563.58123,1323262.0913,397323.404456,1571585.06702,1240988.45156,1407827.37277,420428.441215
