year,Base case cost,Modeled wind power
2019,587814.579689,805332.706017
2020,628398.216696,843724.665412
2021,660892.722316,874575.412823
2022,685098.03304,897684.884741
2023,703854.978511,915619.951107
2024,720678.627682,931758.701024
2025,738387.103261,948782.277349
2026,764348.982635,973648.317917
2027,786016.57569,994631.011718
2028,805703.762782,1013633.29956
2029,831644.014063,1038614.69188
2030,850779.966154,1057202.72457
2031,875806.215555,1081270.11501
2032,901422.453848,1105927.49435
2033,929835.331602,1133244.5333
2034,955287.291826,1157737.63457
2035,976019.658658,1177785.10215
2036,1004264.61568,1204934.22037
2037,1023817.22225,1223938.90753
2038,1052962.71488,1251988.56135
