year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,39387.0,37787.9216866
2018,37987.0,36387.9216866
2019,37987.0,36387.9216866
2020,36587.0,34987.9216866
2021,36587.0,34987.9216866
2022,35186.0,33586.9216866
2023,35186.0,33586.9216866
2024,33786.0,32186.9216866
2025,33786.0,32186.9216866
2026,32385.0,30785.9216866
2027,32385.0,30785.9216866
2028,30985.0,29385.9216866
2029,29584.0,27984.9216866
2030,29584.0,27984.9216866
2031,28184.0,26584.9216866
2032,28184.0,26584.9216866
2033,26784.0,25184.9216866
2034,26784.0,25184.9216866
2035,25383.0,23783.9216866
2036,25383.0,23783.9216866
