year,Base case diesel consumed,Modeled residential energy efficiency
2017,33251.4248309,23278.0971426
2018,31850.9958828,21877.6681945
2019,31850.9958828,21877.6681945
2020,30450.5669346,20477.2392463
2021,30450.5669346,20477.2392463
2022,29050.1379865,19076.8102982
2023,29050.1379865,19076.8102982
2024,27649.7090383,17676.38135
2025,27649.7090383,17676.38135
2026,26249.2800902,16275.9524019
2027,26249.2800902,16275.9524019
2028,24848.851142,14875.5234537
2029,23448.4221939,13475.0945056
2030,23448.4221939,13475.0945056
2031,22047.9932457,12074.6655574
2032,22047.9932457,12074.6655574
2033,20647.5642976,10674.2366093
2034,20647.5642976,10674.2366093
2035,19247.1353495,9273.80766116
2036,19247.1353495,9273.80766116
