year,Base case cost,Modeled biomass for heat (pellet)
2017,113535.407073,116371.729892
2018,119756.312492,122068.169681
2019,133811.502492,135424.156517
2020,135831.447911,137062.650143
2021,140221.887911,141195.874673
2022,138371.070769,139124.103122
2023,140482.230769,141085.724154
2024,136919.806188,137374.79185
2025,138946.966188,139254.451203
2026,135776.069046,135901.857163
2027,138043.019046,138005.660548
2028,133934.534465,133752.557126
2029,129949.507323,129606.237212
2030,131428.707323,130960.218625
2031,127463.842742,126818.239371
2032,129718.562742,128896.697725
2033,125685.538161,124670.654669
2034,128096.098161,126889.009704
2035,122918.711019,121572.981623
2036,125203.181019,123666.816923
