year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,39387.0,37628.0138553
2018,37987.0,36228.0138553
2019,37987.0,36228.0138553
2020,36587.0,34828.0138553
2021,36587.0,34828.0138553
2022,35186.0,33427.0138553
2023,35186.0,33427.0138553
2024,33786.0,32027.0138553
2025,33786.0,32027.0138553
2026,32385.0,30626.0138553
2027,32385.0,30626.0138553
2028,30985.0,29226.0138553
2029,29584.0,27825.0138553
2030,29584.0,27825.0138553
2031,28184.0,26425.0138553
2032,28184.0,26425.0138553
2033,26784.0,25025.0138553
2034,26784.0,25025.0138553
2035,25383.0,23624.0138553
2036,25383.0,23624.0138553
