year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.0
2001,,,2.3
2003,,1.9,1.9
2004,,2.45,3.0
2005,,3.0,3.3
2006,,3.42,4.0
2012,,4.42,8.0
2013,,4.6,8.0
2014,,3.81,8.0
2016,start of forecast,3.55,4.83
2017,,4.11,5.39
2018,,4.51,5.79
2019,,5.06,6.34
2020,,5.31,6.59
2021,,5.49,6.77
2022,,5.62,6.9
2023,,5.71,6.99
2024,,5.78,7.06
2025,,5.87,7.15
2026,,5.98,7.26
2027,,6.07,7.35
2028,,6.14,7.42
2029,,6.24,7.52
2030,,6.3,7.58
2031,,6.41,7.69
2032,,6.52,7.8
2033,,6.63,7.91
2034,,6.74,8.02
2035,,6.81,8.09
2036,,6.93,8.21
2037,,7.0,8.28
2038,,7.11,8.39
2039,,7.2,8.48
2040,,7.32,8.6
