year,Base case cost,Modeled diesel efficiency
2019,434679.538225,560538.832278
2020,456155.799995,576186.715621
2021,469952.211266,584943.76023
2022,481080.405704,591363.867566
2023,488784.540315,594757.828399
2024,493022.117902,595084.978384
2025,500698.932887,598621.329544
2026,510081.706757,603789.237692
2027,515915.964725,605810.016498
2028,521865.572226,608012.60597
2029,528470.850757,610886.40405
2030,533552.301245,612448.286741
2031,540922.529313,616162.539216
2032,550205.13122,621685.296702
2033,559487.733127,627276.397249
2034,566724.398577,631074.296878
2035,572610.260283,633709.370131
2036,582700.308923,640230.080957
2037,588586.170629,642990.961344
2038,595677.131406,646908.087196
