year,Base case cost,"Twin hills, alaska heat recovery study"
2019,310857.418458,312465.401474
2020,323124.000366,322889.385209
2021,331955.93934,330210.544717
2022,338334.561932,335319.812362
2023,342750.531419,338662.466472
2024,346185.174353,341129.457669
2025,350601.14384,344503.071945
2026,355998.43988,348782.950787
2027,360414.409367,352186.090978
2028,363849.052301,354712.150613
2029,368755.685064,358589.112189
2030,371699.664722,360697.006705
2031,377096.960762,365046.485218
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
