year,population
2003,77.0
2004,70.0
2005,73.0
2006,80.0
2007,84.0
2008,78.0
2009,78.0
2010,74.0
2011,76.0
2012,75.0
2013,76.0
2014,75.0
2015,75.0
2016,75.0
2017,75.0
2018,74.0
2019,73.0
2020,73.0
2021,72.0
2022,72.0
2023,72.0
2024,71.0
2025,71.0
2026,70.0
2027,70.0
2028,69.0
2029,69.0
2030,68.0
2031,68.0
2032,68.0
2033,67.0
2034,66.0
2035,66.0
2036,66.0
2037,65.0
2038,65.0
2039,65.0
2040,65.0
