year,Base case diesel consumed,"Twin hills, alaska heat recovery study"
2019,49066.3276326,44566.3276326
2020,49066.3276326,44566.3276326
2021,49066.3276326,44566.3276326
2022,49066.3276326,44566.3276326
2023,49066.3276326,44566.3276326
2024,49066.3276326,44566.3276326
2025,49066.3276326,44566.3276326
2026,49066.3276326,44566.3276326
2027,49066.3276326,44566.3276326
2028,49066.3276326,44566.3276326
2029,49066.3276326,44566.3276326
2030,49066.3276326,44566.3276326
2031,49066.3276326,44566.3276326
2032,49066.3276326,44566.3276326
2033,49066.3276326,44566.3276326
2034,49066.3276326,44566.3276326
2035,49066.3276326,44566.3276326
2036,49066.3276326,44566.3276326
2037,49066.3276326,44566.3276326
2038,49066.3276326,44566.3276326
