year,Base case diesel consumed,"Ophir  (o-4, not identified) -- unnamed creek, o-4",Takotna (ganes creek),Takotna (gold creek)
2021,21559.9769103,0.0,0.0,16931.0154934
2022,21559.9769103,0.0,0.0,16931.0154934
2023,21559.9769103,0.0,0.0,16931.0154934
2024,21559.9769103,0.0,0.0,16931.0154934
2025,21559.9769103,0.0,0.0,16931.0154934
2026,21559.9769103,0.0,0.0,16931.0154934
2027,21559.9769103,0.0,0.0,16931.0154934
2028,21559.9769103,0.0,0.0,16931.0154934
2029,21559.9769103,0.0,0.0,16931.0154934
2030,21559.9769103,0.0,0.0,16931.0154934
2031,21559.9769103,0.0,0.0,16931.0154934
2032,21559.9769103,0.0,0.0,16931.0154934
2033,21559.9769103,0.0,0.0,16931.0154934
2034,21559.9769103,0.0,0.0,16931.0154934
2035,21559.9769103,0.0,0.0,16931.0154934
2036,21559.9769103,0.0,0.0,16931.0154934
2037,21559.9769103,0.0,0.0,16931.0154934
2038,21559.9769103,0.0,0.0,16931.0154934
2039,21559.9769103,0.0,0.0,16931.0154934
2040,21559.9769103,0.0,0.0,16931.0154934
2041,21559.9769103,0.0,0.0,16931.0154934
2042,21559.9769103,0.0,0.0,16931.0154934
2043,21559.9769103,0.0,0.0,16931.0154934
2044,21559.9769103,0.0,0.0,16931.0154934
2045,21559.9769103,0.0,0.0,16931.0154934
2046,21559.9769103,0.0,0.0,16931.0154934
2047,21559.9769103,0.0,0.0,16931.0154934
2048,21559.9769103,0.0,0.0,16931.0154934
2049,21559.9769103,0.0,0.0,16931.0154934
2050,21559.9769103,0.0,0.0,16931.0154934
