year,Base case cost,"Ophir  (o-4, not identified) -- unnamed creek, o-4",Takotna (ganes creek),Takotna (gold creek)
2021,108446.683859,6062643.74537,19967737.3122,141540.610156
2022,111033.881088,6061194.2662,19966844.5991,143551.097523
2023,112758.679241,6060227.94675,19966249.4571,144891.422434
2024,114267.877625,6059382.41724,19965728.7078,146064.206731
2025,115992.675778,6058416.09779,19965133.5657,147404.531642
2026,118148.673469,6057208.19848,19964389.6381,149079.937781
2027,119873.471621,6056241.87904,19963794.4961,150420.262693
2028,121382.670005,6055396.34952,19963273.7468,151593.04699
2029,123323.067927,6054309.24014,19962604.212,153100.912515
2030,124616.666542,6053584.50056,19962157.8554,154106.156199
2031,126557.064464,6052497.39118,19961488.3206,155614.021724
2032,128713.062155,6051289.49187,19960744.393,157289.427863
2033,130869.059846,6050081.59256,19960000.4655,158964.834002
2034,133240.657306,6048752.90332,19959182.1451,160807.780755
2035,134534.25592,6048028.16374,19958735.7886,161813.024438
2036,136905.853381,6046699.4745,19957917.4683,163655.971191
2037,138199.451995,6045974.73491,19957471.1117,164661.214874
2038,140571.049455,6044646.04567,19956652.7914,166504.161627
2039,142295.847608,6043679.72623,19956057.6494,167844.486539
2040,144667.445068,6042351.03699,19955239.329,169687.433291
2041,144667.445068,6042351.03699,19955239.329,169687.433291
2042,144667.445068,6042351.03699,19955239.329,169687.433291
2043,144667.445068,6042351.03699,19955239.329,169687.433291
2044,144667.445068,6042351.03699,19955239.329,169687.433291
2045,144667.445068,6042351.03699,19955239.329,169687.433291
2046,144667.445068,6042351.03699,19955239.329,169687.433291
2047,144667.445068,6042351.03699,19955239.329,169687.433291
2048,144667.445068,6042351.03699,19955239.329,169687.433291
2049,144667.445068,6042351.03699,19955239.329,169687.433291
2050,144667.445068,6042351.03699,19955239.329,169687.433291
