year,Base case cost,Modeled biomass for heat (cordwood)
2017,195118.505219,211805.732417
2018,209079.705219,222128.877182
2019,227449.705219,235711.962399
2020,235899.905219,241960.181598
2021,241778.305219,246306.768868
2022,246187.105219,249566.70932
2023,249126.305219,251740.002955
2024,251698.105219,253641.634885
2025,254637.305219,255814.92852
2026,258311.305219,258531.545563
2027,261250.505219,260704.839198
2028,263822.305219,262606.471128
2029,267128.905219,265051.426467
2030,269333.305219,266681.396693
2031,272639.905219,269126.352032
2032,,
2033,,
2034,,
2035,,
2036,,
