year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,2507.37,254122.0,254122.0
2004,,2507.37,230950.0,230950.0
2005,,2507.37,206218.0,206218.0
2006,,2507.37,242199.0,242199.0
2007,,2507.37,240636.0,240636.0
2008,,2507.37,251919.0,251919.0
2009,,2507.37,243777.0,243777.0
2010,,2507.37,238532.0,238532.0
2011,,2507.37,213034.0,213034.0
2012,,2507.37,224749.0,224749.0
2013,,2507.37,218792.0,218792.0
2014,start of forecast,2507.37,218000.0,218000.0
2015,,2507.37,218000.0,218000.0
2016,,2507.37,218000.0,218000.0
2017,,2507.37,218000.0,218000.0
2018,,2507.37,218000.0,218000.0
2019,,2507.37,218000.0,218000.0
2020,,2507.37,218000.0,218000.0
2021,,2507.37,218000.0,218000.0
2022,,2507.37,218000.0,218000.0
2023,,2507.37,218000.0,218000.0
2024,,2507.37,218000.0,218000.0
2025,,2507.37,218000.0,218000.0
2026,,2507.37,218000.0,218000.0
2027,,2507.37,218000.0,218000.0
2028,,2507.37,218000.0,218000.0
2029,,2507.37,218000.0,218000.0
2030,,2507.37,218000.0,218000.0
2031,,2507.37,218000.0,218000.0
2032,,2507.37,218000.0,218000.0
2033,,2507.37,218000.0,218000.0
2034,,2507.37,218000.0,218000.0
2035,,2507.37,218000.0,218000.0
2036,,2507.37,218000.0,218000.0
2037,,2507.37,218000.0,218000.0
2038,,2507.37,218000.0,218000.0
2039,,2507.37,218000.0,218000.0
2040,,2507.37,218000.0,218000.0
