year,Base case cost,"Goodnews bay (stream s of chawekat mountain) -- unnamed creek, s of chawekat moutain","Goodnews (unnamed tributary to sphinx creek) -- sphinx creek, tributary"
2021,178999.853647,645496.080017,1114669.37388
2022,185220.832167,649477.813816,1119793.7897
2023,189717.042337,652481.194172,1123558.95807
2024,193410.304431,654930.431422,1126643.01867
2025,197970.810257,657998.107434,1130472.48269
2026,203420.98853,661706.650925,1135069.77887
2027,208060.742489,664853.575071,1138978.49103
2028,212389.484904,667938.292641,1142698.03194
2029,217898.725466,671954.703389,1147476.23071
2030,222232.701248,675293.459295,1151322.84529
2031,228831.22984,679901.548137,1156946.65148
2032,234314.303566,683642.987079,1161576.84311
2033,240693.778354,688280.827085,1167103.4358
2034,246911.018755,692507.627734,1172345.9538
2035,253324.884242,697677.468377,1178150.61779
2036,259670.715955,702032.860338,1183521.7271
2037,264421.865876,705539.985415,1187663.67553
2038,271136.276174,710512.760931,1193525.20373
2039,276007.793544,713891.448487,1197665.6793
2040,284488.091508,720132.501731,1205049.41456
2041,286091.744786,721736.155008,1206653.06784
2042,288016.128719,723660.538942,1208577.45177
2043,289619.781997,725264.19222,1210181.10505
2044,291223.435275,726867.845498,1211784.75833
2045,293147.819209,728792.229431,1213709.14226
2046,296996.587076,732640.997299,1217557.91013
2047,298920.97101,734565.381232,1219482.29406
2048,301166.085599,736810.495821,1221727.40865
2049,303090.469532,738734.879755,1223651.79259
2050,305014.853466,740659.263688,1225576.17652
