year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,11377.2,676516.0,676516.0
2004,,11377.2,707423.0,707423.0
2005,,11377.2,705286.0,705286.0
2006,,11377.2,682515.0,682515.0
2007,,11377.2,676151.0,676151.0
2008,,11377.2,703073.0,703073.0
2009,,11377.2,753804.0,753804.0
2010,,11377.2,757710.0,757710.0
2011,,11377.2,787484.0,787484.0
2012,,11377.2,845826.0,845826.0
2013,,11377.2,742886.0,742886.0
2014,start of forecast,11377.2,749000.0,749000.0
2015,,11377.2,754000.0,754000.0
2016,,11377.2,759000.0,759000.0
2017,,11377.2,764000.0,764000.0
2018,,11377.2,770000.0,770000.0
2019,,11377.2,774000.0,774000.0
2020,,11377.2,779000.0,779000.0
2021,,11377.2,785000.0,785000.0
2022,,11377.2,789000.0,789000.0
2023,,11377.2,793000.0,793000.0
2024,,11377.2,796000.0,796000.0
2025,,11377.2,800000.0,800000.0
2026,,11377.2,805000.0,805000.0
2027,,11377.2,809000.0,809000.0
2028,,11377.2,814000.0,814000.0
2029,,11377.2,821000.0,821000.0
2030,,11377.2,828000.0,828000.0
2031,,11377.2,834000.0,834000.0
2032,,11377.2,838000.0,838000.0
2033,,11377.2,845000.0,845000.0
2034,,11377.2,849000.0,849000.0
2035,,11377.2,860000.0,860000.0
2036,,11377.2,864000.0,864000.0
2037,,11377.2,869000.0,869000.0
2038,,11377.2,876000.0,876000.0
2039,,11377.2,879000.0,879000.0
2040,,11377.2,887000.0,887000.0
