year,Base case cost,Modeled biomass for heat (cordwood)
2017,144424.786204,170917.01443
2018,152686.786204,177026.085519
2019,164253.586204,185578.785045
2020,169871.746204,189732.953386
2021,173507.026204,192420.944665
2022,176481.346204,194620.210257
2023,178464.226204,196086.387319
2024,180116.626204,197308.201537
2025,182099.506204,198774.378598
2026,184412.866204,200484.918503
2027,186395.746204,201951.095565
2028,188048.146204,203172.909783
2029,190031.026204,204639.086844
2030,191352.946204,205616.538219
2031,193996.786204,207571.440967
2032,,
2033,,
2034,,
2035,,
2036,,
