year,Base case diesel consumed,Modeled non-residential ashp
2017,33047.5873368,23133.3111456
2018,33047.5873368,23133.3111456
2019,33047.5873368,23133.3111456
2020,33047.5873368,23133.3111456
2021,33047.5873368,23133.3111456
2022,33047.5873368,23133.3111456
2023,33047.5873368,23133.3111456
2024,33047.5873368,23133.3111456
2025,33047.5873368,23133.3111456
2026,33047.5873368,23133.3111456
2027,33047.5873368,23133.3111456
2028,33047.5873368,23133.3111456
2029,33047.5873368,23133.3111456
2030,33047.5873368,23133.3111456
2031,33047.5873368,23133.3111456
