year,Base case cost,Modeled biomass for heat (pellet)
2017,174936.879037,189197.613015
2018,189224.309037,199392.400826
2019,208438.439037,213102.63271
2020,217799.169037,219781.976448
2021,224203.879037,224352.053743
2022,229130.579037,227867.497815
2023,232579.269037,230328.308666
2024,235042.619037,232086.030703
2025,238491.309037,234546.841554
2026,242925.339037,237710.741219
2027,246374.029037,240171.55207
2028,248837.379037,241929.274107
2029,252778.739037,244741.629365
2030,255242.089037,246499.351401
2031,259676.119037,249663.251067
2032,,
2033,,
2034,,
2035,,
2036,,
