year,Base case cost,Modeled biomass for heat (cordwood)
2017,174936.879037,221936.658716
2018,189224.309037,232503.504908
2019,208438.439037,246714.091166
2020,217799.169037,253637.197291
2021,224203.879037,258374.059377
2022,229130.579037,262017.799443
2023,232579.269037,264568.41749
2024,235042.619037,266390.287523
2025,238491.309037,268940.905569
2026,242925.339037,272220.271629
2027,246374.029037,274770.889675
2028,248837.379037,276592.759708
2029,252778.739037,279507.751761
2030,255242.089037,281329.621794
2031,259676.119037,284608.987854
2032,,
2033,,
2034,,
2035,,
2036,,
