year,Base case diesel consumed,Modeled non-residential ashp
2017,11520.7143998,8064.5000764
2018,11520.7143998,8064.5000764
2019,11520.7143998,8064.5000764
2020,11520.7143998,8064.5000764
2021,11520.7143998,8064.5000764
2022,11520.7143998,8064.5000764
2023,11520.7143998,8064.5000764
2024,11520.7143998,8064.5000764
2025,11520.7143998,8064.5000764
2026,11520.7143998,8064.5000764
2027,11520.7143998,8064.5000764
2028,11520.7143998,8064.5000764
2029,11520.7143998,8064.5000764
2030,11520.7143998,8064.5000764
2031,11520.7143998,8064.5000764
