year,Base case cost,Modeled biomass for heat (cordwood)
2017,40678.2568705,56283.0127932
2018,43788.9268705,58583.1079964
2019,48282.1168705,61905.4677343
2020,50471.1068705,63524.0532476
2021,51968.8368705,64631.5064936
2022,53120.9368705,65483.3936059
2023,53927.4068705,66079.7145845
2024,54503.4568705,66505.6581407
2025,55309.9268705,67101.9791193
2026,56231.6068705,67783.4888091
2027,57038.0768705,68379.8097877
2028,57729.3368705,68890.9420551
2029,58651.0168705,69572.4517449
2030,59111.8568705,69913.2065898
2031,60148.7468705,70679.9049909
2032,,
2033,,
2034,,
2035,,
2036,,
