year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,120569.0,111001.129548
2018,119169.0,109601.129548
2019,116368.0,106800.129548
2020,114967.0,105399.129548
2021,113567.0,103999.129548
2022,110766.0,101198.129548
2023,109366.0,99798.1295484
2024,106565.0,96997.1295484
2025,105164.0,95596.1295484
2026,102363.0,92795.1295484
2027,100963.0,91395.1295484
2028,99563.0,89995.1295484
2029,96762.0,87194.1295484
2030,93961.0,84393.1295484
2031,92560.0,82992.1295484
2032,91160.0,81592.1295484
2033,89760.0,80192.1295484
2034,86959.0,77391.1295484
2035,85558.0,75990.1295484
2036,84158.0,74590.1295484
