year,Base case cost,Modeled biomass for heat (pellet)
2017,354781.5667,369635.455271
2018,384029.302119,395934.721353
2019,420386.430396,428297.230145
2020,436019.293254,441950.893891
2021,445473.418673,449910.236746
2022,445562.92695,448797.880434
2023,447586.962369,449912.831381
2024,442517.600646,444035.673271
2025,444061.343504,444681.418948
2026,440422.991781,440054.740862
2027,441466.8172,440211.142762
2028,441319.012619,439276.695069
2029,435676.750896,432757.093659
2030,427763.129173,424162.355021
2031,429715.392031,425055.537475
2032,430508.60745,424889.991164
2033,431975.422868,425306.897369
2034,426321.751145,418607.741454
2035,424586.744004,416118.607542
2036,426054.959422,416454.2014
