year,Base case cost,Modeled biomass for heat (cordwood)
2017,354781.5667,389440.173558
2018,384029.302119,415552.962023
2019,420386.430396,447834.750577
2020,436019.293254,461234.877194
2021,445473.418673,468906.804372
2022,445562.92695,467490.324687
2023,447586.962369,468284.224571
2024,442517.600646,462086.26899
2025,444061.343504,462428.65712
2026,440422.991781,457515.856519
2027,441466.8172,457385.774722
2028,441319.012619,456164.286758
2029,435676.750896,449374.29381
2030,427763.129173,440499.531836
2031,429715.392031,441155.06556
2032,430508.60745,440750.577095
2033,431975.422868,440944.470305
2034,426321.751145,434029.36301
2035,424586.744004,431305.079633
2036,426054.959422,431447.050763
