year,Base case diesel consumed,Modeled transmission and interties
2021,156508.600324,78254.3001622
2022,156508.600324,78254.3001622
2023,156508.600324,78254.3001622
2024,156671.122235,78335.5611177
2025,156671.122235,78335.5611177
2026,156671.122235,78335.5611177
2027,156833.644146,78416.8220732
2028,156833.644146,78416.8220732
2029,156996.166057,78498.0830287
2030,156996.166057,78498.0830287
2031,157158.687969,78579.3439843
2032,157158.687969,78579.3439843
2033,157158.687969,78579.3439843
2034,157321.20988,78660.6049398
2035,157321.20988,78660.6049398
2036,157483.731791,78741.8658953
2037,157483.731791,78741.8658953
2038,157646.253702,78823.1268508
2039,157646.253702,78823.1268508
2040,157808.775613,78904.3878063
