year,Base case cost,Modeled water and wastewater efficiency
2017,72795.1527738,54836.0022102
2018,77786.4635551,58400.3339862
2019,84623.795406,63295.4152157
2020,88145.7502633,65803.2681125
2021,90950.687362,67796.86566
2022,93037.5265699,69271.1080566
2023,94741.1225092,70470.6294138
2024,96347.0849812,71601.020707
2025,98101.7557488,72839.1490324
2026,100122.859012,74270.8828571
2027,102653.908989,76076.732676
2028,104431.528807,77334.8305873
2029,106545.040659,78835.6316676
2030,108041.669276,79892.8080734
2031,110719.430199,81804.7628737
