year,Base case diesel consumed,Modeled residential energy efficiency
2017,66220.65143,46970.4394463
2018,67034.37752,47784.1655363
2019,68661.8297,49411.6177163
2020,69475.55579,50225.3438063
2021,71103.00797,51852.7959863
2022,71916.7340599,52666.5220763
2023,72730.4601499,53480.2481663
2024,73544.1862399,54293.9742563
2025,74357.9123299,55107.7003463
2026,75985.3645099,56735.1525263
2027,77612.8166899,58362.6047063
2028,79240.2688699,59990.0568863
2029,80053.9949599,60803.7829763
2030,81681.4471399,62431.2351562
2031,83308.8993199,64058.6873362
