year,Base case cost,"Napaskiak wind, power and heat recovery",Modeled wind power
2019,254062.377422,415918.979741,407187.620798
2020,268915.254871,416892.384589,415333.586328
2021,279367.851579,416042.532029,419997.911019
2022,287193.281595,413923.022288,422540.210016
2023,292671.082607,410810.079524,423237.82051
2024,297675.132247,407763.597573,423688.306983
2025,303158.621526,404922.860438,424568.598289
2026,309425.466415,402588.698056,426180.560984
2027,315235.624734,400328.801141,427556.314853
2028,319940.634059,397491.763811,428045.442738
2029,326552.0254,395870.122858,430246.32181
2030,329691.948721,392515.461901,429601.728536
2031,337105.385692,391521.66021,432621.088106
2032,343391.733211,389917.678743,434724.510521
2033,350463.87417,388803.039078,437548.978909
2034,357905.752476,388164.50613,440813.823891
2035,362625.388772,386123.727736,441836.655742
2036,370086.769708,385710.015059,445257.35354
2037,374811.281662,383874.6179,446418.215572
2038,382292.165226,383676.214096,449988.449724
