year,Base case diesel consumed,Modeled residential ashp
2017,10583.9419721,-55636.7093916
2018,10713.998526,-55506.6528378
2019,10974.1116336,-55246.5397301
2020,11104.1681875,-55116.4831763
2021,11364.2812951,-54856.3700686
2022,11494.337849,-54726.3135148
2023,11624.3944028,-54596.256961
2024,11754.4509566,-54466.2004071
2025,11884.5075105,-54336.1438533
2026,12144.6206181,-54076.0307456
2027,12404.7337258,-53815.9176379
2028,12664.8468335,-53555.8045303
2029,12794.9033873,-53425.7479764
2030,13055.016495,-53165.6348688
2031,13315.1296027,-52905.5217611
