year,Base case cost,Modeled solar power (pv)
2016,166335.487675,175162.213763
2017,197572.198975,205711.075211
2018,220999.732451,228579.934301
2019,254062.377422,260956.492803
2020,268915.254871,275399.187849
2021,279367.851579,285518.153127
2022,287193.281595,293050.950526
2023,292671.082607,298276.160668
2024,297675.132247,303044.575119
2025,303158.621526,308287.023337
2026,309425.466415,314307.561942
2027,315235.624734,319887.905722
2028,319940.634059,324379.211123
2029,326552.0254,330760.724934
2030,329691.948721,333718.304694
2031,337105.385692,340901.600955
2032,343391.733211,346973.463829
2033,350463.87417,353825.815349
2034,357905.752476,361052.958008
2035,362625.388772,365593.214798
