year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,6672530.55,463.32,32155.9,22993.18
2018,6670936.59,453.5,32155.9,22993.18
2019,6669197.73,442.99,32155.9,22993.18
2020,6667386.41,431.9,32155.9,21592.75
2021,6665430.19,419.86,32155.9,21592.75
2022,6663473.97,408.04,32155.9,20192.32
2023,6661445.29,395.59,32155.9,20192.32
2024,6659199.26,381.9,32155.9,18791.89
2025,6657098.13,369.05,32155.9,18791.89
2026,6654997.0,356.13,32155.9,17391.46
2027,6652823.42,342.81,32155.9,17391.46
2028,6650722.29,329.95,32155.9,15991.03
2029,6648258.9,315.0,32155.9,14590.6
2030,6646012.87,301.13,32155.9,14590.6
2031,6643766.83,287.48,32155.9,13190.17
2032,6641810.61,,,13190.17
2033,6639926.84,,,11789.75
2034,6638043.07,,,11789.75
2035,6636231.75,,,11789.75
2036,6634347.98,,,10389.32
