year,Base case cost,Modeled biomass for heat (cordwood)
2017,348862.972857,362858.653994
2018,371088.891273,380651.581491
2019,400301.929688,404274.636952
2020,414259.407312,415218.25724
2021,429940.814558,428754.813812
2022,437020.782181,434025.213568
2023,441518.409805,437154.869759
2024,445377.12822,439766.849263
2025,450512.405051,443456.263986
2026,455647.041883,447158.925201
2027,468086.069129,458179.537852
2028,471997.526752,460899.167039
2029,477204.962791,464714.364474
2030,480452.789622,466902.596843
2031,486321.616453,471297.476958
2032,499207.723699,482828.353581
2033,505174.811323,487345.301415
2034,511799.148154,492424.31361
2035,515103.275777,494727.691427
2036,521734.153401,499835.416338
