year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9917.05259786,6446.08418861
2018,9914.82137823,6444.63389585
2019,9912.5675188,6443.16888722
2020,9909.83496062,6441.3927244
2021,9906.83924797,6439.44551118
2022,9904.08897746,6437.65783535
2023,9901.42147543,6435.92395903
2024,9898.51698788,6434.03604212
2025,9894.99802932,6431.74871906
2026,9891.28689875,6429.33648419
2027,9887.44112791,6426.83673314
2028,9883.64496488,6424.36922717
2029,9879.2642953,6421.52179194
2030,9875.01746692,6418.7613535
2031,9871.16523708,6416.2574041
