year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,63536.0,52868.8517185
2018,63534.0,52866.8517185
2019,63532.0,52864.8517185
2020,63529.0,52861.8517185
2021,64548.0,53880.8517185
2022,64545.0,53877.8517185
2023,64542.0,53874.8517185
2024,64540.0,53872.8517185
2025,64536.0,53868.8517185
2026,64532.0,53864.8517185
2027,65551.0,54883.8517185
2028,65548.0,54880.8517185
2029,65543.0,54875.8517185
2030,65539.0,54871.8517185
2031,65535.0,54867.8517185
2032,66554.0,55886.8517185
2033,66551.0,55883.8517185
2034,66547.0,55879.8517185
2035,66544.0,55876.8517185
2036,66541.0,55873.8517185
