year,Base case cost,Modeled non-residential energy efficiency
2017,10787113.9178,10550899.2378
2018,11262109.5054,11023008.6866
2019,11915228.4383,11672159.1786
2020,12226944.2926,11981981.0043
2021,12434754.8621,12188528.8882
2022,12612878.2075,12365569.9315
2023,12716783.4922,12468843.8734
2024,12820688.777,12572117.8153
2025,12924594.0618,12675391.7572
2026,13058186.5708,12808172.5397
2027,13176935.4677,12926199.9018
2028,13280840.7525,13029473.8438
2029,13414433.2615,13162254.6262
2030,13488651.322,13236021.7276
2031,13637087.4431,13383555.9303
