year,Base case cost,Modeled biomass for heat (cordwood)
2017,3872542.47208,4823853.75642
2018,4336437.51208,5166864.5627
2019,4974293.19208,5638504.42133
2020,5278724.31208,5863605.26295
2021,5481678.39208,6013672.4907
2022,5655639.03208,6142301.54306
2023,5757116.07208,6217335.15693
2024,5858593.11208,6292368.77081
2025,5960070.15208,6367402.38468
2026,6090540.63208,6463874.17395
2027,6206514.39208,6549626.87552
2028,6307991.43208,6624660.48939
2029,6438461.91208,6721132.27866
2030,6510945.51208,6774727.71714
2031,6655912.71208,6881918.5941
2032,,
2033,,
2034,,
2035,,
2036,,
