year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,1449672.0,1071908.76963
2018,1449672.0,1071908.76963
2019,1449672.0,1071908.76963
2020,1449672.0,1071908.76963
2021,1449672.0,1071908.76963
2022,1449672.0,1071908.76963
2023,1449672.0,1071908.76963
2024,1449672.0,1071908.76963
2025,1449672.0,1071908.76963
2026,1449672.0,1071908.76963
2027,1449672.0,1071908.76963
2028,1449672.0,1071908.76963
2029,1449672.0,1071908.76963
2030,1449672.0,1071908.76963
2031,1449672.0,1071908.76963
2032,,
2033,,
2034,,
2035,,
2036,,
