year,Base case cost,Modeled biomass for heat (pellet)
2017,3872542.47208,4599788.58609
2018,4336437.51208,4930710.969
2019,4974293.19208,5385729.2455
2020,5278724.31208,5602897.05928
2021,5481678.39208,5747675.60181
2022,5655639.03208,5871771.4954
2023,5757116.07208,5944160.76666
2024,5858593.11208,6016550.03792
2025,5960070.15208,6088939.30918
2026,6090540.63208,6182011.22938
2027,6206514.39208,6264741.8251
2028,6307991.43208,6337131.09636
2029,6438461.91208,6430203.01656
2030,6510945.51208,6481909.63889
2031,6655912.71208,6585322.88355
2032,,
2033,,
2034,,
2035,,
2036,,
