year,annotation,diesel generation efficiency
2002,,13.7
2003,,13.59
2004,,13.44
2005,,13.16
2006,,13.64
2007,,13.95
2008,,13.33
2009,,13.4
2010,,13.23
2011,,13.36
2012,,13.23
2013,,13.16
2016,start of forecast,13.25
2017,,13.25
2018,,13.25
2019,,13.25
2020,,13.25
2021,,13.25
2022,,13.25
2023,,13.25
2024,,13.25
2025,,13.25
2026,,13.25
2027,,13.25
2028,,13.25
2029,,13.25
2030,,13.25
2031,,13.25
2032,,13.25
2033,,13.25
2034,,13.25
2035,,13.25
2036,,13.25
2037,,13.25
2038,,13.25
2039,,13.25
2040,,13.25
