year,Base case diesel consumed,Modeled wind power
2019,694674.456335,503614.066986
2020,692938.725035,501878.335686
2021,691353.926891,500293.537542
2022,689769.128748,498708.739399
2023,688033.397448,496973.008099
2024,686222.19957,495161.810221
2025,684486.46827,493426.078921
2026,682750.73697,491690.347621
2027,680939.539091,489879.149743
2028,679279.27437,488218.885021
2029,676788.877287,485728.487938
2030,674600.346518,483539.957169
2031,672562.748905,481502.359556
2032,670902.484183,479842.094834
2033,669468.619196,478408.229847
2034,668110.220787,477049.831438
2035,666449.956066,475389.566717
2036,664789.691344,473729.301995
2037,662978.493466,471918.104117
2038,661318.228744,470257.839395
