year,Base case diesel consumed,Modeled solar power (pv)
2016,698296.852091,688447.219549
2017,697466.71973,687695.884249
2018,696032.854743,686340.185946
2019,694674.456335,685059.328888
2020,692938.725035,683400.518607
2021,691353.926891,681892.026115
2022,689769.128748,680382.923178
2023,688033.397448,678722.281523
2024,686222.19957,676985.572572
2025,684486.46827,675323.734288
2026,682750.73697,673661.30486
2027,680939.539091,671922.822438
2028,679279.27437,670334.69145
2029,676788.877287,667915.851031
2030,674600.346518,665798.304471
2031,672562.748905,663831.123195
2032,670902.484183,662240.711479
2033,669468.619196,660876.140673
2034,668110.220787,659586.482093
2035,666449.956066,657994.407281
