year,Base case cost,Modeled wind power
2019,501062.885403,703032.526484
2020,527491.047798,714168.489061
2021,546875.887334,720665.402619
2022,562507.278808,724915.404481
2023,573440.878613,725970.262714
2024,582258.490765,725961.106182
2025,592201.389637,726784.867364
2026,604990.030208,729711.502026
2027,616434.308305,731888.003266
2028,625115.091573,732338.663071
2029,638068.225884,735861.565254
2030,645419.600655,735707.450988
2031,658477.4128,739606.27753
2032,671595.04085,743695.794137
2033,684772.484805,747972.933363
2034,699440.092504,753418.169755
2035,708808.010985,755473.114541
2036,722163.407259,760293.932716
2037,732693.997402,763299.940155
2038,746547.361088,768848.480537
