year,Base case diesel consumed,Modeled solar power (pv)
2016,136305.494388,133935.435924
2017,136604.573915,134253.475919
2018,136978.423323,134646.134111
2019,137277.50285,134963.871952
2020,137726.12214,135431.000289
2021,138099.971549,135823.210673
2022,138548.590839,136290.04405
2023,138847.670366,136607.191951
2024,139296.289657,137073.735069
2025,139670.139065,137465.364914
2026,140043.988474,137856.852516
2027,140417.837883,138248.199013
2028,140791.687291,138639.405532
2029,141165.5367,139030.473195
2030,141539.386109,139421.403112
2031,141913.235517,139812.196384
2032,142287.084926,140202.854106
2033,142660.934334,140593.377361
2034,143034.783743,140983.767225
2035,143483.403033,141448.794648
