year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.0
2004,,1.84,2.85
2005,,2.24,3.5
2010,,3.16,5.54
2011,,3.64,5.54
2012,,4.16,6.14
2013,,4.16,6.57
2014,,4.1,6.31
2016,start of forecast,2.54,4.74
2017,,2.95,5.15
2018,,3.25,5.45
2019,,3.65,5.85
2020,,3.83,6.03
2021,,3.96,6.16
2022,,4.06,6.26
2023,,4.13,6.33
2024,,4.18,6.38
2025,,4.24,6.44
2026,,4.32,6.52
2027,,4.39,6.59
2028,,4.44,6.64
2029,,4.52,6.72
2030,,4.56,6.76
2031,,4.64,6.84
2032,,4.72,6.92
2033,,4.8,7.0
2034,,4.89,7.09
2035,,4.94,7.14
2036,,5.02,7.22
2037,,5.08,7.28
2038,,5.16,7.36
2039,,5.23,7.43
2040,,5.32,7.52
