year,Base case cost,Modeled water and wastewater efficiency
2017,45416.9671184,47185.1522459
2018,47487.3498308,48326.1278355
2019,50244.3303426,49963.9243516
2020,51420.3258557,50505.9078898
2021,52260.5259719,50809.314447
2022,52867.4032527,50964.624192
2023,53280.4821262,50982.3496184
2024,53524.3018644,50900.1435822
2025,53865.5674252,50880.859927
2026,54331.6697903,50961.823649
2027,54723.6456382,50998.3484086
2028,54974.6411194,50942.3169192
2029,55418.9644502,51034.1197961
2030,55595.7944807,50939.272879
2031,56045.3960437,51043.3738825
