year,annotation,diesel generation efficiency
2002,,13.74
2003,,14.16
2004,,13.78
2005,,13.62
2006,,13.15
2007,,10.78
2008,,10.83
2009,,11.91
2010,,10.35
2011,,10.37
2012,,14.4
2013,,14.44
2014,,13.4
2015,,12.29
2016,start of forecast,13.37
2017,,13.37
2018,,13.37
2019,,13.37
2020,,13.37
2021,,13.37
2022,,13.37
2023,,13.37
2024,,13.37
2025,,13.37
2026,,13.37
2027,,13.37
2028,,13.37
2029,,13.37
2030,,13.37
2031,,13.37
2032,,13.37
2033,,13.37
2034,,13.37
2035,,13.37
2036,,13.37
2037,,13.37
2038,,13.37
2039,,13.37
2040,,13.37
