year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,16372.12,677371.13,354439.65,29044.85,505091.34,542437.9
2018,17030.94,716828.47,380475.42,30456.41,525393.12,571206.73
2019,17952.12,769438.27,413618.95,32292.22,552462.16,607960.99
2020,18053.21,793112.68,437779.88,33367.12,564643.22,632595.24
2021,18098.93,810210.86,454933.94,34161.6,573440.66,650054.38
2022,17951.21,823363.31,470380.42,34916.2,580207.92,665418.46
2023,17799.58,832570.02,484005.21,35480.91,584945.0,678606.75
2024,17449.83,839146.25,500865.96,36074.47,588328.63,694232.72
2025,17272.02,847037.72,514141.33,36593.54,592388.99,706878.18
2026,17096.7,857559.68,529041.12,37234.97,597802.8,721264.28
2027,16876.88,866766.39,543394.96,37846.77,602539.88,734968.47
2028,16590.76,873342.62,556403.33,38383.88,605923.51,747129.42
2029,16340.21,883864.57,576543.86,39078.75,611337.32,765963.02
2030,16012.43,889125.55,589082.35,39583.37,614044.22,777495.9
2031,15801.94,899647.51,604945.75,40243.45,619458.03,792563.9
2032,,,621012.02,,,807775.46
2033,,,642141.52,,,827308.9
2034,,,659514.48,,,843740.7
2035,,,673663.96,,,856709.17
2036,,,690567.04,,,872512.9
