year,annotation,Average Load
2003,,182.0
2004,,183.0
2005,,182.0
2006,,178.0
2007,,172.0
2008,,168.0
2009,,165.0
2010,,174.0
2011,,165.0
2012,,159.0
2013,,179.0
2014,,181.0
2015,,201.0
2016,start of forecast,189.0
2017,,189.0
2018,,190.0
2019,,190.0
2020,,191.0
2021,,191.0
2022,,192.0
2023,,192.0
2024,,193.0
2025,,193.0
2026,,194.0
2027,,194.0
2028,,195.0
2029,,196.0
2030,,196.0
2031,,197.0
2032,,197.0
2033,,198.0
2034,,198.0
2035,,199.0
2036,,199.0
2037,,200.0
2038,,200.0
2039,,201.0
2040,,202.0
