year,Base case diesel consumed,Modeled wind power
2019,137277.50285,84738.4983275
2020,137726.12214,85187.1176179
2021,138099.971549,85560.9670265
2022,138548.590839,86009.5863169
2023,138847.670366,86308.6658438
2024,139296.289657,86757.2851342
2025,139670.139065,87131.1345428
2026,140043.988474,87504.9839514
2027,140417.837883,87878.8333601
2028,140791.687291,88252.6827687
2029,141165.5367,88626.5321773
2030,141539.386109,89000.381586
2031,141913.235517,89374.2309946
2032,142287.084926,89748.0804032
2033,142660.934334,90121.9298119
2034,143034.783743,90495.7792205
2035,143483.403033,90944.3985109
2036,143857.252442,91318.2479195
2037,144231.101851,91692.0973281
2038,144679.721141,92140.7166185
