year,Base case cost,Modeled diesel efficiency
2019,203637.262609,368945.291604
2020,213745.987337,378135.041357
2021,220167.336012,383972.631061
2022,225524.050854,388842.371826
2023,228781.512582,391803.70067
2024,230595.627446,393452.896001
2025,233823.957403,396387.741416
2026,238072.782144,400250.309363
2027,241274.628672,403161.078934
2028,243434.793672,405124.865297
2029,247552.084051,408867.856551
2030,249696.358993,410817.197408
2031,253370.493333,414157.319534
2032,257542.516131,417950.067533
2033,261187.518699,421263.706231
2034,265328.644164,425028.365745
2035,267925.785737,427389.403538
2036,272037.77943,431127.579623
2037,274580.188584,433438.860672
2038,278671.878315,437158.57861
