year,Base case cost,Modeled solar power
2020,470420.956984,474322.403192
2021,485266.588762,488941.81371
2022,496400.812596,499880.235615
2023,504751.480472,508058.496471
2024,511246.444375,514397.637762
2025,518669.260264,521662.190805
2026,527947.780126,530773.910507
2027,535879.464839,538548.809065
2028,541945.297198,544473.702835
2029,550282.917155,552661.797908
2030,555841.33046,558092.14909
2031,565105.352634,567207.627499
2032,573919.946503,575877.181341
2033,583176.719833,584992.343396
2034,592894.51962,594566.108605
2035,598899.461692,600453.322149
2036,609065.9649,610482.288314
2037,614611.330286,615921.558875
2038,624287.811664,625466.682488
2039,631675.833104,632743.103244
