year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,168206.0,149515.487758
2018,166726.0,148035.487758
2019,166723.0,148032.487758
2020,165244.0,146553.487758
2021,165243.0,146552.487758
2022,165243.0,146552.487758
2023,165244.0,146553.487758
2024,165244.0,146553.487758
2025,165244.0,146553.487758
2026,165243.0,146552.487758
2027,165240.0,146549.487758
2028,163761.0,145070.487758
2029,163761.0,145070.487758
2030,163760.0,145069.487758
2031,163760.0,145069.487758
2032,163758.0,145067.487758
2033,163757.0,145066.487758
2034,162279.0,143588.487758
2035,162278.0,143587.487758
2036,162278.0,143587.487758
